Object Name, Agent Name, Position-X, Position-Z, Time (Seconds)
room node 15, smart agent 15, -66.70, 36.60, 0.00
room node 14, smart agent 14, -66.50, 24.90, 0.00
room node 13, smart agent 13, -64.44, 1.45, 0.00
room node 12, smart agent 12, -63.62, -6.55, 0.00
room node 16, smart agent 16, -58.40, 38.70, 0.00
room node 11, smart agent 11, -55.51, -6.59, 0.00
room node 10, smart agent 10, -47.48, -7.24, 0.00
room node 36, smart agent 36, -46.60, 9.50, 0.00
room node 17, smart agent 17, -39.50, 37.10, 0.00
room node 9, smart agent 9, -39.37, -7.28, 0.00
room node 37, smart agent 37, -33.60, 5.30, 0.00
room node 8, smart agent 8, -31.64, -7.12, 0.00
room node 35, smart agent 35, -28.10, 14.40, 0.00
room node 18, smart agent 18, -24.20, 28.70, 0.00
room node 38, smart agent 38, -23.70, 4.30, 0.00
room node 7, smart agent 7, -23.05, -7.16, 0.00
room node 6, smart agent 6, -15.32, -7.00, 0.00
room node 39, smart agent 39, -15.30, 5.00, 0.00
room node 19, smart agent 19, -11.40, 36.00, 0.00
room node 34, smart agent 34, -9.40, 14.70, 0.00
room node 5, smart agent 5, -7.78, -7.25, 0.00
room node 40, smart agent 40, -6.00, 5.20, 0.00
room node 4, smart agent 4, -0.05, -7.09, 0.00
room node 21, smart agent 21, 0.50, 42.20, 0.00
room node 20, smart agent 20, 5.30, 30.70, 0.00
room node 30, smart agent 30, 8.40, 17.20, 0.00
room node 23, smart agent 23, 8.80, 46.70, 0.00
room node 32, smart agent 32, 8.90, 9.10, 0.00
room node 3, smart agent 3, 9.01, -5.71, 0.00
room node 33, smart agent 33, 9.29, 13.87, 0.00
room node 22, smart agent 22, 9.70, 40.20, 0.00
room node 31, smart agent 31, 11.20, 4.60, 0.00
room node 24, smart agent 24, 21.30, 38.00, 0.00
room node 2, smart agent 2, 22.19, -6.43, 0.00
room node 1, smart agent 1, 32.79, -7.06, 0.00
room node 47, smart agent 47, 33.60, -23.20, 0.00
room node 50, smart agent 50, 47.10, -17.00, 0.00
room node 27, smart agent 27, 50.60, 6.40, 0.00
room node 29, smart agent 29, 50.70, 22.70, 0.00
room node 28, smart agent 28, 50.80, 14.70, 0.00
room node 46, smart agent 46, 50.80, -32.30, 0.00
room node 48, smart agent 48, 59.60, -18.60, 0.00
room node 45, smart agent 45, 60.00, -32.90, 0.00
room node 26, smart agent 26, 61.30, 15.00, 0.00
room node 49, smart agent 49, 62.30, -9.20, 0.00
room node 25, smart agent 25, 62.70, 38.20, 0.00
room node 44, smart agent 44, 68.10, -31.30, 0.00
room node 43, smart agent 43, 70.00, -40.80, 0.00
room node 52, smart agent 52, 71.32, 2.32, 0.00
room node 41, smart agent 41, 75.80, -19.60, 0.00
room node 51, smart agent 51, 77.80, -0.60, 0.00
room node 42, smart agent 42, 78.10, -40.80, 0.00
door 58, smart agent 31, 10.36, 3.04, 0.86
door 25, smart agent 31, 10.36, 2.92, 0.92
door 132, smart agent 52, 68.53, 2.61, 1.18
door 4, smart agent 18, -21.15, 28.39, 1.22
door 119, smart agent 52, 68.41, 2.61, 1.22
door 5, smart agent 18, -21.03, 28.39, 1.28
door 88, smart agent 11, -57.55, -3.96, 1.28
door 124, smart agent 51, 74.55, -0.32, 1.32
door 28, smart agent 11, -57.55, -3.84, 1.34
door 94, smart agent 4, -1.69, -3.96, 1.34
door 97, smart agent 8, -33.61, -3.96, 1.40
door 100, smart agent 4, -1.69, -3.84, 1.42
door 95, smart agent 6, -17.65, -3.96, 1.42
door 99, smart agent 5, -9.67, -3.96, 1.42
door 72, smart agent 1, 33.47, -10.76, 1.42
door 89, smart agent 10, -49.57, -3.96, 1.44
door 92, smart agent 8, -33.61, -3.84, 1.46
door 93, smart agent 9, -41.59, -3.96, 1.46
door 77, smart agent 6, -17.65, -3.84, 1.46
door 79, smart agent 5, -9.67, -3.84, 1.46
door 117, smart agent 24, 19.67, 34.51, 1.46
door 41, smart agent 1, 33.48, -10.88, 1.46
door 66, smart agent 16, -56.84, 34.96, 1.50
door 9, smart agent 20, 4.38, 26.82, 1.50
door 90, smart agent 10, -49.57, -3.84, 1.50
door 98, smart agent 7, -25.63, -3.96, 1.50
door 114, smart agent 24, 19.67, 34.39, 1.50
door 70, smart agent 27, 46.73, 5.45, 1.52
door 91, smart agent 9, -41.59, -3.84, 1.52
door 128, smart agent 16, -56.84, 34.83, 1.52
door 18, smart agent 20, 4.38, 26.70, 1.54
door 78, smart agent 7, -25.63, -3.84, 1.54
door 123, smart agent 27, 46.61, 5.45, 1.56
module node 29, smart agent 52, 66.90, 2.00, 1.62
door 92, smart agent 8, -33.61, -3.84, 1.62
door 92, smart agent 8, -33.61, -3.84, 1.68
door 77, smart agent 6, -17.65, -3.84, 1.68
door 79, smart agent 5, -9.67, -3.84, 1.68
door 123, smart agent 27, 46.61, 5.45, 1.68
door 70, smart agent 27, 46.73, 5.45, 1.68
door 46, smart agent 44, 71.48, -34.38, 1.68
door 61, smart agent 44, 71.51, -34.38, 1.68
door 66, smart agent 16, -56.84, 34.96, 1.68
door 128, smart agent 16, -56.84, 34.83, 1.68
door 89, smart agent 10, -49.57, -3.96, 1.68
door 90, smart agent 10, -49.57, -3.84, 1.68
door 93, smart agent 9, -41.59, -3.96, 1.68
door 91, smart agent 9, -41.59, -3.84, 1.68
door 78, smart agent 7, -25.63, -3.84, 1.68
door 98, smart agent 7, -25.63, -3.96, 1.68
door 100, smart agent 4, -1.69, -3.84, 1.68
door 94, smart agent 4, -1.69, -3.96, 1.68
door 9, smart agent 20, 4.38, 26.82, 1.68
door 18, smart agent 20, 4.38, 26.70, 1.68
door 72, smart agent 1, 33.47, -10.76, 1.68
door 41, smart agent 1, 33.48, -10.88, 1.68
module node 29, smart agent 52, 66.90, 2.00, 1.68
door 14, smart agent 23, 4.95, 49.50, 1.72
door 71, smart agent 38, -20.52, 0.68, 1.74
door 74, smart agent 39, -17.52, 0.68, 1.76
door 12, smart agent 23, 4.83, 49.50, 1.76
door 96, smart agent 42, 77.92, -35.94, 1.78
door 30, smart agent 38, -20.52, 0.58, 1.80
door 67, smart agent 37, -35.52, 0.68, 1.80
door 35, smart agent 39, -17.52, 0.58, 1.82
door 48, smart agent 42, 77.91, -35.82, 1.82
door 34, smart agent 37, -35.52, 0.58, 1.84
door 13, smart agent 22, 4.95, 38.25, 1.84
door 69, smart agent 13, -59.11, 0.91, 1.88
door 12, smart agent 23, 4.83, 49.50, 1.88
door 14, smart agent 23, 4.95, 49.50, 1.88
door 46, smart agent 44, 71.48, -34.38, 1.88
door 61, smart agent 44, 71.51, -34.38, 1.88
door 67, smart agent 37, -35.52, 0.68, 1.88
door 34, smart agent 37, -35.52, 0.58, 1.88
door 78, smart agent 7, -25.63, -3.84, 1.88
door 98, smart agent 7, -25.63, -3.96, 1.88
door 71, smart agent 38, -20.52, 0.68, 1.88
door 30, smart agent 38, -20.52, 0.58, 1.88
door 74, smart agent 39, -17.52, 0.68, 1.88
door 35, smart agent 39, -17.52, 0.58, 1.88
door 13, smart agent 22, 4.95, 38.25, 1.88
door 76, smart agent 48, 56.53, -15.32, 1.88
door 48, smart agent 42, 77.91, -35.82, 1.88
door 96, smart agent 42, 77.92, -35.94, 1.88
door 11, smart agent 22, 4.83, 38.25, 1.90
door 87, smart agent 3, 6.29, -0.96, 1.90
door 39, smart agent 48, 56.41, -15.32, 1.92
door 31, smart agent 13, -59.01, 0.91, 1.92
door 26, smart agent 3, 6.29, -0.84, 1.94
door 73, smart agent 29, 55.61, 25.45, 1.98
intersection node 2, smart agent 11, -58.00, -2.00, 1.98
door 81, smart agent 43, 72.77, -35.94, 1.98
door 59, smart agent 33, 3.67, 13.96, 1.98
door 68, smart agent 40, -2.52, 0.68, 1.98
door 49, smart agent 41, 71.53, -23.57, 2.02
door 36, smart agent 41, 71.53, -23.58, 2.02
door 51, smart agent 29, 55.73, 25.47, 2.02
door 131, smart agent 33, 3.55, 13.96, 2.04
door 45, smart agent 43, 72.77, -35.82, 2.04
door 60, smart agent 49, 56.53, -9.32, 2.04
door 29, smart agent 40, -2.52, 0.58, 2.04
door 62, smart agent 14, -60.38, 24.79, 2.10
door 75, smart agent 12, -59.12, -2.58, 2.10
door 69, smart agent 13, -59.11, 0.91, 2.10
door 31, smart agent 13, -59.01, 0.91, 2.10
door 131, smart agent 33, 3.55, 13.96, 2.10
door 59, smart agent 33, 3.67, 13.96, 2.10
door 11, smart agent 21, 4.83, 38.25, 2.10
door 65, smart agent 28, 55.61, 18.45, 2.10
door 73, smart agent 29, 55.61, 25.45, 2.10
door 51, smart agent 29, 55.73, 25.47, 2.10
door 39, smart agent 48, 56.41, -15.32, 2.10
door 76, smart agent 48, 56.53, -15.32, 2.10
door 60, smart agent 49, 56.53, -9.32, 2.10
door 49, smart agent 41, 71.53, -23.57, 2.10
door 36, smart agent 41, 71.53, -23.58, 2.10
intersection node 2, smart agent 11, -58.00, -2.00, 2.10
door 68, smart agent 40, -2.52, 0.68, 2.10
door 29, smart agent 40, -2.52, 0.58, 2.10
door 26, smart agent 3, 6.29, -0.84, 2.10
door 86, smart agent 46, 54.15, -27.19, 2.10
door 40, smart agent 49, 56.41, -9.32, 2.10
door 45, smart agent 43, 72.77, -35.82, 2.10
door 81, smart agent 43, 72.77, -35.94, 2.10
door 48, smart agent 42, 77.91, -35.82, 2.10
door 96, smart agent 42, 77.92, -35.94, 2.10
door 16, smart agent 14, -60.26, 24.79, 2.28
door 27, smart agent 12, -58.99, -2.58, 2.28
intersection node 2, smart agent 11, -58.00, -2.00, 2.28
door 11, smart agent 21, 4.83, 38.25, 2.28
door 13, smart agent 21, 4.95, 38.25, 2.28
door 65, smart agent 28, 55.61, 18.45, 2.28
door 52, smart agent 28, 55.73, 18.45, 2.28
door 40, smart agent 49, 56.41, -9.32, 2.28
door 39, smart agent 48, 56.41, -15.32, 2.28
door 49, smart agent 41, 71.53, -23.57, 2.28
door 36, smart agent 41, 71.53, -23.58, 2.28
door 48, smart agent 42, 77.91, -35.82, 2.28
door 62, smart agent 14, -60.38, 24.79, 2.28
door 75, smart agent 12, -59.12, -2.58, 2.28
door 31, smart agent 13, -59.01, 0.91, 2.28
door 102, smart agent 35, -26.52, 20.80, 2.28
door 101, smart agent 34, -8.52, 20.80, 2.28
door 24, smart agent 34, -8.52, 20.92, 2.28
door 57, smart agent 30, 2.38, 15.01, 2.28
door 42, smart agent 47, 37.47, -18.17, 2.28
door 82, smart agent 47, 37.47, -18.23, 2.28
door 38, smart agent 46, 54.15, -27.07, 2.28
door 86, smart agent 46, 54.15, -27.19, 2.28
door 52, smart agent 26, 55.73, 18.45, 2.28
door 37, smart agent 45, 57.02, -27.07, 2.28
door 84, smart agent 45, 57.02, -27.19, 2.28
door 120, smart agent 51, 72.97, -1.76, 2.28
door 47, smart agent 51, 72.97, -1.88, 2.28
intersection node 2, smart agent 11, -58.00, -2.00, 2.32
door 11, smart agent 21, 4.83, 38.25, 2.32
door 13, smart agent 21, 4.95, 38.25, 2.32
door 65, smart agent 28, 55.61, 18.45, 2.32
door 52, smart agent 28, 55.73, 18.45, 2.32
door 39, smart agent 48, 56.41, -15.32, 2.32
door 49, smart agent 41, 71.53, -23.57, 2.32
door 36, smart agent 41, 71.53, -23.58, 2.32
door 27, smart agent 12, -58.99, -2.58, 2.32
door 102, smart agent 35, -26.52, 20.80, 2.32
door 23, smart agent 35, -26.52, 20.92, 2.32
door 101, smart agent 34, -8.52, 20.80, 2.32
door 24, smart agent 34, -8.52, 20.92, 2.32
door 57, smart agent 30, 2.38, 15.01, 2.32
door 42, smart agent 47, 37.47, -18.17, 2.32
door 82, smart agent 47, 37.47, -18.23, 2.32
door 38, smart agent 46, 54.15, -27.07, 2.32
door 86, smart agent 46, 54.15, -27.19, 2.32
door 52, smart agent 26, 55.73, 18.45, 2.32
